# 10 Grad, 8 Bursts
#	rect	cos	cos2	gauss
################################################################################
-45	0.544	0.287	0.332	0.325
-44	0.537	0.276	0.314	0.320
-43	0.503	0.277	0.303	0.297
-42	0.440	0.246	0.283	0.288
-41	0.402	0.241	0.273	0.275
-40	0.366	0.258	0.284	0.277
-39	0.311	0.236	0.273	0.288
-38	0.292	0.236	0.269	0.287
-37	0.344	0.244	0.284	0.293
-36	0.360	0.264	0.280	0.288
-35	0.434	0.280	0.277	0.267
-34	0.493	0.284	0.271	0.257
-33	0.537	0.304	0.276	0.273
-32	0.577	0.313	0.283	0.280
-31	0.591	0.327	0.297	0.298
-30	0.578	0.313	0.311	0.298
-29	0.537	0.313	0.317	0.313
-28	0.502	0.308	0.318	0.322
-27	0.434	0.293	0.317	0.320
-26	0.343	0.280	0.320	0.320
-25	0.293	0.288	0.305	0.320
-24	0.273	0.287	0.324	0.320
-23	0.337	0.284	0.316	0.312
-22	0.423	0.298	0.320	0.324
-21	0.503	0.293	0.332	0.320
-20	0.587	0.307	0.331	0.316
-19	0.623	0.303	0.337	0.301
-18	0.680	0.300	0.363	0.307
-17	0.666	0.338	0.374	0.310
-16	0.609	0.378	0.376	0.320
-15	0.516	0.407	0.353	0.320
-14	0.409	0.446	0.344	0.326
-13	0.422	0.485	0.342	0.327
-12	0.443	0.497	0.331	0.320
-11	0.531	0.520	0.336	0.320
-10	0.728	0.516	0.347	0.320
-9	0.927	0.472	0.357	0.408
-8	1.08	0.448	0.404	0.523
-7	1.16	0.433	0.511	0.600
-6	1.15	0.415	0.667	0.755
-5	1.07	0.411	0.800	0.803
-4	1.00	0.526	0.964	0.992
-3	0.836	0.720	1.16	1.12
-2	0.663	1.00	1.29	1.28
-1	0.756	1.28	1.50	1.47
0	1.08	1.51	1.66	1.63
1	1.49	1.81	1.80	1.73
2	1.98	2.12	1.96	1.91
3	2.53	2.36	2.12	2.04
4	2.93	2.63	2.32	2.20
5	3.42	2.84	2.36	2.26
6	3.91	3.00	2.50	2.36
7	4.14	3.18	2.56	2.42
8	4.36	3.33	2.61	2.46
9	4.52	3.34	2.64	2.50
10	4.59	3.36	2.65	2.51
11.	4.51	3.29	2.62	2.48
12	4.33	3.20	2.56	2.42
13	4.03	3.04	2.46	2.34
14	3.71	2.88	2.37	2.20
15	3.40	2.63	2.23	2.12
16	2.94	2.47	2.14	2.03
17	2.48	2.23	1.99	1.91
18	2.03	2.04	1.87	1.80
19	1.57	1.78	1.70	1.66
20	1.11	1.52	1.59	1.52
21	0.743	1.35	1.46	1.40
22	0.436	1.11	1.29	1.29
23	0.360	0.926	1.20	1.14
24	0.527	0.783	1.04	1.04
25	0.748	0.616	0.954	0.973
26	0.916	0.515	0.822	0.872
27	1.01	0.406	0.714	0.778
28	1.05	0.360	0.630	0.691
29	1.06	0.352	0.538	0.631
30	1.01	0.353	0.476	0.520
31	0.927	0.396	0.418	0.471
32	0.827	0.427	0.400	0.416
33	0.712	0.444	0.326	0.400
34	0.582	0.462	0.280	0.332
35	0.446	0.456	0.256	0.297
36	0.422	0.458	0.320	0.246
37	0.440	0.458	0.320	0.255
38	0.443	0.453	0.356	0.296
39	0.452	0.445	0.400	0.325
40	0.504	0.440	0.400	0.355
41	0.536	0.413	0.418	0.366
42	0.576	0.423	0.423	0.383
43	0.592	0.400	0.417	0.394
44	0.606	0.356	0.417	0.392
45	0.593	0.335	0.403	0.382
