# 8 Bursts
#	0 deg	10 deg	20 deg	30 deg
################################################################################
-45	0.403	0.544	0.362	0.525
-44	0.456	0.537	0.352	0.442
-43	0.520	0.503	0.332	0.381
-42	0.560	0.440	0.320	0.423
-41	0.577	0.402	0.362	0.487
-40	0.552	0.366	0.402	0.555
-39	0.514	0.311	0.443	0.567
-38	0.476	0.292	0.496	0.557
-37	0.414	0.344	0.521	0.526
-36	0.359	0.360	0.543	0.524
-35	0.360	0.434	0.583	0.566
-34	0.368	0.493	0.581	0.584
-33	0.415	0.537	0.543	0.572
-32	0.440	0.577	0.517	0.541
-31	0.520	0.591	0.446	0.482
-30	0.600	0.578	0.383	0.442
-29	0.672	0.537	0.336	0.449
-28	0.684	0.502	0.320	0.466
-27	0.688	0.434	0.342	0.476
-26	0.680	0.343	0.373	0.451
-25	0.627	0.293	0.406	0.402
-24	0.544	0.273	0.440	0.333
-23	0.440	0.337	0.492	0.292
-22	0.360	0.423	0.527	0.308
-21	0.257	0.503	0.540	0.351
-20	0.317	0.587	0.557	0.397
-19	0.477	0.623	0.548	0.434
-18	0.640	0.680	0.517	0.422
-17	0.845	0.666	0.455	0.367
-16	0.992	0.609	0.376	0.322
-15	1.09	0.516	0.286	0.323
-14	1.14	0.409	0.311	0.382
-13	1.09	0.422	0.366	0.533
-12	1.00	0.443	0.444	0.601
-11	0.827	0.531	0.551	0.633
-10	0.600	0.728	0.617	0.616
-9	0.473	0.927	0.653	0.571
-8	0.763	1.08	0.622	0.475
-7	1.20	1.16	0.568	0.306
-6	1.72	1.15	0.457	0.295
-5	2.25	1.07	0.404	0.402
-4	2.76	1.00	0.442	0.549
-3	3.28	0.836	0.616	0.657
-2	3.76	0.663	0.791	0.734
-1	4.20	0.756	0.977	0.741
0	4.40	1.08	1.13	0.721
1	4.65	1.49	1.24	0.682
2	4.72	1.98	1.27	0.618
3	4.71	2.53	1.27	0.574
4	4.63	2.93	1.18	0.576
5	4.30	3.42	1.05	0.646
6	3.97	3.91	0.903	0.738
7	3.47	4.14	0.707	0.833
8	3.08	4.36	0.693	0.941
9	2.52	4.52	0.968	1.03
10	1.92	4.59	1.33	1.11
11.	1.46	4.51	1.77	1.12
12	0.976	4.33	2.23	1.10
13	0.554	4.03	2.64	0.986
14	0.393	3.71	3.12	0.844
15	0.546	3.40	3.40	0.617
16	0.764	2.94	3.73	0.446
17	0.944	2.48	3.95	0.368
18	1.02	2.03	4.07	0.507
19	1.08	1.57	4.19	0.813
20	1.07	1.11	4.21	1.13
21	1.02	0.743	4.17	1.56
22	0.920	0.436	4.06	1.91
23	0.786	0.360	3.85	2.19
24	0.634	0.527	3.64	2.58
25	0.495	0.748	3.35	2.90
26	0.375	0.916	3.04	3.27
27	0.373	1.01	2.58	3.55
28	0.492	1.05	2.13	3.73
29	0.581	1.06	1.73	3.86
30	0.620	1.01	1.39	3.87
31	0.675	0.927	1.11	3.84
32	0.680	0.827	0.756	3.74
33	0.683	0.712	0.417	3.59
34	0.667	0.582	0.331	3.40
35	0.642	0.446	0.452	3.13
36	0.595	0.422	0.684	2.93
37	0.540	0.440	0.849	2.60
38	0.512	0.443	0.952	2.43
39	0.463	0.452	1.06	2.11
40	0.453	0.504	1.09	1.81
41	0.491	0.536	1.07	1.49
42	0.526	0.576	1.02	1.14
43	0.600	0.592	0.954	0.857
44	0.646	0.606	0.840	0.573
45	0.680	0.593	0.760	0.342
