eeschema (22-Jun-2014 BZR 4027)-stable  >> Creation date: Tue 07 Jun 2016 12:43:08 PM CEST
#Cmp ( order = Reference )
| C1         100n        ; ~           
| C2         100n        ; ~           
| C3         1u          ; ~           
| C4         1u          ; ~           
| C5         1u          ; ~           
| C6         1u          ; ~           
| C7         1u          ; ~           
| C8         1u          ; ~           
| C9         1u          ; ~           
| C10        1u          ; ~           
| C11        1u          ; ~           
| C12        1u          ; ~           
| C13        1u          ; ~           
| C14        1u          ; ~           
| C15        1u          ; ~           
| C16        1u          ; ~           
| C17        1u          ; ~           
| C18        1u          ; ~           
| C19        100n        ; ~           
| C20        100n        ; ~           
| C21        100n        ; ~           
| C22        100n        ; ~           
| C23        1u          ; ~           
| C24        1u          ; ~           
| C25        1u          ; ~           
| C26        1u          ; ~           
| C27        1u          ; ~           
| C28        1u          ; ~           
| C29        1u          ; ~           
| C30        1u          ; ~           
| C31        1u          ; ~           
| C32        1u          ; ~           
| C33        1u          ; ~           
| C34        1u          ; ~           
| C35        1u          ; ~           
| C36        1u          ; ~           
| C37        1u          ; ~           
| C38        1u          ; ~           
| C39        100n        ; ~           
| C40        100n        ; ~           
| C41        100n        ; ~           
| C42        100n        ; ~           
| CP1        10u         ; ~           
| CP2        10u         ; ~           
| P1         ARDUINO_HEADER_7;             
| P2         ARDUINO_HEADER_1;             
| P3         ARDUINO_HEADER_6;             
| P4         ARDUINO_HEADER_2;             
| P5         ARDUINO_HEADER_5;             
| P6         ARDUINO_HEADER_3;             
| P7         ARDUINO_HEADER_4;             
| R1         10k         ; ~           
| R2         10k         ; ~           
| R3         10k         ; ~           
| R4         10k         ; ~           
| R5         10k         ; ~           
| R6         10k         ; ~           
| R7         10k         ; ~           
| R8         10k         ; ~           
| R9         100         ; ~           
| R10        10k         ; ~           
| R11        10k         ; ~           
| R12        100         ; ~           
| R13        10k         ; ~           
| R14        10k         ; ~           
| R15        100         ; ~           
| R16        10k         ; ~           
| R17        10k         ; ~           
| R18        100         ; ~           
| R19        10k         ; ~           
| R20        10k         ; ~           
| R21        100         ; ~           
| R22        10k         ; ~           
| R23        10k         ; ~           
| R24        100         ; ~           
| R25        10k         ; ~           
| R26        10k         ; ~           
| R27        100         ; ~           
| R28        10k         ; ~           
| R29        10k         ; ~           
| R30        100         ; ~           
| R31        10k         ; ~           
| R32        10k         ; ~           
| R33        10k         ; ~           
| R34        15k         ; ~           
| R35        10k         ; ~           
| R36        15k         ; ~           
| R37        10k         ; ~           
| R38        15k         ; ~           
| R39        10k         ; ~           
| R40        15k         ; ~           
| R41        100         ; ~           
| R42        10k         ; ~           
| R43        10k         ; ~           
| R44        100         ; ~           
| R45        10k         ; ~           
| R46        10k         ; ~           
| R47        100         ; ~           
| R48        10k         ; ~           
| R49        10k         ; ~           
| R50        100         ; ~           
| R51        10k         ; ~           
| R52        10k         ; ~           
| R53        100         ; ~           
| R54        10k         ; ~           
| R55        10k         ; ~           
| R56        100         ; ~           
| R57        10k         ; ~           
| R58        10k         ; ~           
| R59        100         ; ~           
| R60        10k         ; ~           
| R61        10k         ; ~           
| R62        100         ; ~           
| R63        10k         ; ~           
| R64        10k         ; ~           
| R65        10k         ; ~           
| R66        15k         ; ~           
| R67        10k         ; ~           
| R68        15k         ; ~           
| R69        10k         ; ~           
| R70        15k         ; ~           
| R71        10k         ; ~           
| R72        15k         ; ~           
| U1         74ACT244    ;             
| U2         74ACT244    ;             
| U3         MA40H1T     ; ~           
| U4         MA40H1T     ; ~           
| U5         MA40H1T     ; ~           
| U6         MA40H1T     ; ~           
| U7         MA40H1T     ; ~           
| U8         MA40H1T     ; ~           
| U9         MA40H1T     ; ~           
| U10        MA40H1T     ; ~           
| U11        MA40H1S     ;             
| U12        MA40H1S     ;             
| U13        MA40H1S     ;             
| U14        MA40H1S     ;             
| U15        OPA2350     ;             
| U16        OPA2350     ;             
| U17        OPA2350     ;             
| U18        OPA2350     ;             
| U19        MA40H1S     ;             
| U20        MA40H1S     ;             
| U21        MA40H1S     ;             
| U22        MA40H1S     ;             
| U23        OPA2350     ;             
| U24        OPA2350     ;             
| U25        OPA2350     ;             
| U26        OPA2350     ;             
#End Cmp

#Cmp ( order = Value )
| 100n         C1        ; ~           
| 100n         C2        ; ~           
| 100n         C19       ; ~           
| 100n         C20       ; ~           
| 100n         C21       ; ~           
| 100n         C22       ; ~           
| 100n         C39       ; ~           
| 100n         C40       ; ~           
| 100n         C41       ; ~           
| 100n         C42       ; ~           
| 1u           C3        ; ~           
| 1u           C4        ; ~           
| 1u           C5        ; ~           
| 1u           C6        ; ~           
| 1u           C7        ; ~           
| 1u           C8        ; ~           
| 1u           C9        ; ~           
| 1u           C10       ; ~           
| 1u           C11       ; ~           
| 1u           C12       ; ~           
| 1u           C13       ; ~           
| 1u           C14       ; ~           
| 1u           C15       ; ~           
| 1u           C16       ; ~           
| 1u           C17       ; ~           
| 1u           C18       ; ~           
| 1u           C23       ; ~           
| 1u           C24       ; ~           
| 1u           C25       ; ~           
| 1u           C26       ; ~           
| 1u           C27       ; ~           
| 1u           C28       ; ~           
| 1u           C29       ; ~           
| 1u           C30       ; ~           
| 1u           C31       ; ~           
| 1u           C32       ; ~           
| 1u           C33       ; ~           
| 1u           C34       ; ~           
| 1u           C35       ; ~           
| 1u           C36       ; ~           
| 1u           C37       ; ~           
| 1u           C38       ; ~           
| 10u          CP1       ; ~           
| 10u          CP2       ; ~           
| ARDUINO_HEADER_7 P1        ;             
| ARDUINO_HEADER_1 P2        ;             
| ARDUINO_HEADER_6 P3        ;             
| ARDUINO_HEADER_2 P4        ;             
| ARDUINO_HEADER_5 P5        ;             
| ARDUINO_HEADER_3 P6        ;             
| ARDUINO_HEADER_4 P7        ;             
| 100          R9        ; ~           
| 100          R12       ; ~           
| 100          R15       ; ~           
| 100          R18       ; ~           
| 100          R21       ; ~           
| 100          R24       ; ~           
| 100          R27       ; ~           
| 100          R30       ; ~           
| 100          R41       ; ~           
| 100          R44       ; ~           
| 100          R47       ; ~           
| 100          R50       ; ~           
| 100          R53       ; ~           
| 100          R56       ; ~           
| 100          R59       ; ~           
| 100          R62       ; ~           
| 10k          R1        ; ~           
| 10k          R2        ; ~           
| 10k          R3        ; ~           
| 10k          R4        ; ~           
| 10k          R5        ; ~           
| 10k          R6        ; ~           
| 10k          R7        ; ~           
| 10k          R8        ; ~           
| 10k          R10       ; ~           
| 10k          R11       ; ~           
| 10k          R13       ; ~           
| 10k          R14       ; ~           
| 10k          R16       ; ~           
| 10k          R17       ; ~           
| 10k          R19       ; ~           
| 10k          R20       ; ~           
| 10k          R22       ; ~           
| 10k          R23       ; ~           
| 10k          R25       ; ~           
| 10k          R26       ; ~           
| 10k          R28       ; ~           
| 10k          R29       ; ~           
| 10k          R31       ; ~           
| 10k          R32       ; ~           
| 10k          R33       ; ~           
| 10k          R35       ; ~           
| 10k          R37       ; ~           
| 10k          R39       ; ~           
| 10k          R42       ; ~           
| 10k          R43       ; ~           
| 10k          R45       ; ~           
| 10k          R46       ; ~           
| 10k          R48       ; ~           
| 10k          R49       ; ~           
| 10k          R51       ; ~           
| 10k          R52       ; ~           
| 10k          R54       ; ~           
| 10k          R55       ; ~           
| 10k          R57       ; ~           
| 10k          R58       ; ~           
| 10k          R60       ; ~           
| 10k          R61       ; ~           
| 10k          R63       ; ~           
| 10k          R64       ; ~           
| 10k          R65       ; ~           
| 10k          R67       ; ~           
| 10k          R69       ; ~           
| 10k          R71       ; ~           
| 15k          R34       ; ~           
| 15k          R36       ; ~           
| 15k          R38       ; ~           
| 15k          R40       ; ~           
| 15k          R66       ; ~           
| 15k          R68       ; ~           
| 15k          R70       ; ~           
| 15k          R72       ; ~           
| 74ACT244     U1        ;             
| 74ACT244     U2        ;             
| MA40H1S      U11       ;             
| MA40H1S      U12       ;             
| MA40H1S      U13       ;             
| MA40H1S      U14       ;             
| OPA2350      U15       ;             
| OPA2350      U16       ;             
| OPA2350      U17       ;             
| OPA2350      U18       ;             
| MA40H1S      U19       ;             
| MA40H1S      U20       ;             
| MA40H1S      U21       ;             
| MA40H1S      U22       ;             
| OPA2350      U23       ;             
| OPA2350      U24       ;             
| OPA2350      U25       ;             
| OPA2350      U26       ;             
| MA40H1T      U3        ; ~           
| MA40H1T      U4        ; ~           
| MA40H1T      U5        ; ~           
| MA40H1T      U6        ; ~           
| MA40H1T      U7        ; ~           
| MA40H1T      U8        ; ~           
| MA40H1T      U9        ; ~           
| MA40H1T      U10       ; ~           
#End Cmp

#End List
