"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"c_elec_6.3x5.8";2;"47u";;;
2;"C3,C5,C7,C9,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46";"C_0805";36;"100n";;;
3;"C4,C6,C8,C10,C11,C12,C13,C14,C47";"C_0805";9;"220n";;;
4;"P1";"Pin_Header_Straight_1x10";1;"CONN_01X10";;;
5;"R1,R2,R3,R4,R5,R6,R7,R8,R18,R20,R22,R24,R26,R28,R30,R32,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66";"R_0805";26;"10k";;;
6;"R9,R10,R11,R12,R13,R14,R15,R16";"R_0805";8;"1k";;;
7;"R17,R19,R21,R23,R25,R27,R29,R31,R67,R68";"R_0805";10;"0";;;
8;"R33,R34,R35,R36,R37,R38,R39,R40";"R_0805";8;"20k";;;
9;"R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56";"R_0805";16;"100";;;
10;"U1,U2";"SOIC-20W_7.5x12.8mm_Pitch1.27mm";2;"40244";;;
11;"U3,U4";"SOIC-14_N";2;"4066";;;
12;"U5,U6,U7,U8,U9,U10,U11,U12";"SOIC-8_3.9x4.9mm_Pitch1.27mm";8;"OPA2350";;;
13;"U13";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM358N";;;
14;"X1,X2,X3,X4,X5,X6,X7,X8";"murata_ultrasonic_transducer";8;"PiezoelectricCrystal-TwoPairsOfelectrodes_EN60617_04-07-03_Date20121108";;;
15;"P2,P3,P4,P5,P6";"Pin_Header_Straight_1x08";5;"CONN_01X08";;;
16;"P7";"Pin_Header_Straight_2x18";1;"CONN_02X18";;;
